fit_time,score_time,test_MAE,train_MAE,test_RMSE,train_RMSE,test_MAPE,train_MAPE,test_R2,train_R2
0.080518007,0.003998756,4.040269184,0.056736515,5.139167389,0.078919786,32.16044968,0.286970504,0.705781329,0.99993848
0.083517075,0.004002333,0.198944406,0.055776988,0.253856303,0.079252272,1.215937526,0.280575576,0.999095058,0.999939539
0.08251524,0.003998756,0.231750794,0.05180188,0.324893422,0.075633804,1.414710381,0.26027961,0.998850151,0.999944067
0.079515696,0.002999783,0.30543802,0.051517864,0.510059449,0.072056189,1.593300715,0.250200681,0.997060523,0.999949662
0.07500267,0.003999472,0.157949269,0.059210335,0.307329674,0.083589277,0.916680906,0.296739173,0.998976987,0.999931801
0.085506678,0.003005266,0.199665207,0.051138881,0.25441789,0.075413944,1.009932169,0.260171584,0.999344665,0.999943886
0.080513,0.003998756,0.280496552,0.054686109,0.374621532,0.079272917,1.467946098,0.271394978,0.998561455,0.999938473
0.077511549,0.004003525,0.450180123,0.054971331,0.614385062,0.079745795,1.896494268,0.28960775,0.996833936,0.999935539
0.074513674,0.002999783,0.335444249,0.050400423,0.431913845,0.07661402,1.371039733,0.261408794,0.998087761,0.999941088
0.072509766,0.003998756,0.445121257,0.051445578,0.603033271,0.074677651,2.295501323,0.260979886,0.996548714,0.999944908
